High,Low,Close,Long,Short
318.600006,308.700012,318.600006,0,0
319.559998,313.299988,315.839996,0,0
316.380005,312.75,316.149994,0,0
315.660004,308.730011,310.570007,0,0
310.290009,306.350006,307.779999,0,0
309.380005,304.920013,305.820007,0,0
307.48999,305.089996,305.98999,0,0
308.339996,304.709991,306.390015,0,0
311.910004,305.459991,311.450012,0,0
318.910004,310.820007,312.329987,0,0
316.359985,308.399994,309.290009,0,0
306.959991,299.450012,301.910004,0,0
302.470001,297.76001,300,0,0
301.480011,297.149994,300.029999,0,0
304.190002,297,302,0,0
308.540009,304.160004,307.820007,0,0
306.5,297.640015,302.690002,0,0
306.570007,300.929993,306.48999,0,0
308.579987,304.649994,305.549988,0,0
307.459991,303.26001,303.429993,0,0
309.380005,305.23999,309.059998,0,0
309.040009,305.619995,308.899994,0,0
312.390015,307.380005,309.910004,302.45,314.11
316.890015,311.25,314.549988,301.7,314.21
314.230011,310,312.899994,301.58,314.33
320.160004,313.380005,318.690002,302.85,314.31
320.5,314.75,315.529999,302.98,314.52
316.799988,313.339996,316.350006,303.11,314.39
320.570007,316.600006,320.369995,302.94,314.63
321.320007,317.720001,318.929993,303.69,314.63
318.420013,315.790009,317.640015,304.14,314.18
318.519989,314.25,314.859985,304.66,313.66
315.540009,307.75,308.299988,304.69,313.63
307.23999,303.859985,305.230011,305.42,312.9
310.01001,304.359985,309.869995,305.29,313.03
312.730011,306.850006,310.420013,305.08,313.24
312.829987,307.5,311.299988,305.34,313.62
312.549988,307.709991,311.899994,305.57,313.39
313.679993,309.579987,310.950012,306.4,315.85
311.730011,308.339996,309.170013,306.7,317.88
309.51001,306.809998,307.329987,306.87,317.71
311.859985,305.790009,311.519989,306.62,318.56
312.670013,306.380005,310.570007,306.57,318.61
312.600006,308.299988,311.859985,306.45,318.73
311.549988,305.920013,308.51001,306.33,318.85
308.799988,305.600006,308.429993,306.84,318.34
314.149994,306.630005,312.970001,306.44,318.74
313.410004,308.01001,308.480011,306.69,318.49
311.420013,306.98999,307.209991,306.87,318.31
309.980011,305.279999,309.890015,306.7,318.48
313.73999,309.619995,313.73999,306.72,318.46
314.100006,309.040009,310.790009,303.72,318.66
310.369995,308.279999,309.630005,303.8,318.58
310.200012,306.869995,308.179993,300.95,318.45
308.410004,305.480011,308.23999,300.22,317.79
307.299988,300.5,302.720001,299.77,314.88
305.269989,301.769989,303.160004,300.07,314.58
305.559998,300.25,303.070007,300.14,314.26
305.619995,300.01001,304.019989,300.11,314.05
305.779999,302.01001,304.660004,300.25,313.91
306.149994,303.410004,305.179993,300.44,313.72
305.619995,302.079987,304.619995,300.42,313.74
308.100006,301.450012,307.75,299.88,314.28
312.660004,308.5,312.450012,300.04,314.12
317.290009,312.429993,316.970001,303.37,313.93
316.5,310.230011,311.119995,303.04,314.26
312.679993,309.25,311.369995,303.38,313.92
313.179993,303.940002,304.820007,302.56,314.74
306.720001,301.920013,303.630005,302.93,314.37
306.589996,300.76001,302.880005,302.87,314.43
307.549988,301.679993,305.329987,302.67,314.63
300.549988,294.899994,297.880005,301.89,310.3
304.429993,295.359985,302.01001,301.22,310.97
301.299988,292.420013,293.51001,300.6,309.11
301.51001,295.059998,301.059998,299.85,309.86
305.630005,302.25,303.850006,299.68,310.03
307.049988,299.649994,299.730011,299.07,310.64
302.079987,296.299988,298.369995,299.34,310.37
299.5,293.390015,298.920013,298.98,310.73
303.209991,298.970001,302.140015,299.12,310.59
302.720001,300.589996,302.320007,299.6,310.11
305.380005,303.359985,305.299988,299.69,310.02
307.470001,302.579987,305.079987,299.4,310.31
308.809998,304.98999,308.769989,299.36,310.35
311.5,308.23999,310.309998,299.82,309.89
311,307.070007,309.070007,299.96,309.75
311.070007,307.850006,310.390015,299.39,309.53
313.220001,309.049988,312.51001,296.46,309.18
313.700012,310.329987,312.619995,296.95,309.17
315.940002,311.769989,313.700012,299.88,308.48
316.920013,313.720001,314.549988,301.08,308.26
318.809998,313.26001,318.049988,303.01,308.22
321.880005,318.119995,319.73999,306.35,307.95
323.980011,319,323.790009,309.2,307.2
325.720001,322.5,324.630005,311.73,306.41
324.549988,322.76001,323.089996,312.79,306.32
324.369995,321.320007,323.820007,313.46,305.65
324.850006,321.609985,324.329987,313.64,305.47
326.399994,324.299988,326.049988,315.05,304.74
327.100006,324.109985,324.339996,316.13,304.36
323.73999,319,320.529999,316.23,309.84
326.910004,322.109985,326.230011,315.95,311.74
328.809998,325.190002,328.549988,317.45,313.94
331.839996,328.570007,330.170013,320.45,313.97
330.25,322.76001,325.859985,320.1,316.73
328.070007,323.059998,323.220001,319.94,318.97
325.98999,317.410004,320,319.21,319.7
325.160004,322.619995,323.880005,319.04,320.65
330.690002,325.790009,326.140015,318.55,322.34
326.880005,323.480011,324.869995,318.66,323.51
326.160004,320.149994,322.98999,318.3,325.31
322.959991,319.809998,322.640015,318.43,326.67
324.23999,320.540009,322.48999,318.37,326.73
323.829987,320.130005,323.529999,318.62,330.63
324.690002,322.359985,323.75,318.82,330.43
328.26001,324.820007,327.390015,318.89,330.36
329.980011,325.850006,329.76001,318.76,330.49
333.940002,329.119995,330.390015,320.46,330.89
331.48999,328.350006,329.130005,320.45,330.9
329.269989,322.970001,323.109985,320.03,331.32
323,319.559998,320.200012,319.83,331.52
320.559998,317.709991,319.019989,319.85,331.5
322.630005,319.670013,320.600006,320.09,331.26
322.470001,319,322.190002,320.49,330.86
322.410004,319.390015,321.079987,320.57,330.78
323.220001,319.529999,323.119995,320.51,330.84
330.670013,324.420013,329.480011,320.51,330.84
330.890015,327.570007,328.579987,320.74,330.61
334.160004,328.679993,333.410004,321.37,330.5
335.820007,331.429993,335.420013,323.13,330.4
336.320007,334.100006,335.950012,324.26,329.77
337.589996,334.920013,335.290009,325.63,329.67
335.350006,332.220001,333.600006,326.02,329.28
336.619995,332.200012,336.390015,325.85,329.45
340.380005,334.089996,335.899994,328.29,329.8
341.679993,335.540009,339.820007,329.25,330.14
341.299988,337.660004,338.309998,329.07,330.32
339.279999,336.619995,338.670013,329.33,330.06
341.350006,336.369995,338.609985,329.21,330.18
338.850006,335.660004,336.959991,329.43,329.96
337.470001,334.190002,335.25,329.41,329.98
335.829987,331.839996,334.119995,329.73,329.66
336.730011,334.369995,335.339996,329.86,329.53
336.399994,332.609985,334.149994,329.73,330.95
337.01001,334.140015,336.910004,329.83,330.85
342.5,338.399994,341,330.36,331.53
342.079987,338.410004,342,330.27,331.76
341.890015,338.700012,341.559998,330.33,336.59
341.799988,338.910004,341.459991,330.96,339.11
344.070007,340.390015,340.899994,332.48,340.27
343.480011,339.869995,341.130005,332.75,342.75
343.839996,340.929993,343.369995,332.95,342.96
346.440002,344.309998,345.350006,335.21,343.07
346.209991,343.450012,343.540009,335.19,343.09
