High,Low,Close,SuperTrend
318.600006,308.700012,318.600006,0
319.559998,313.299988,315.839996,0
316.380005,312.75,316.149994,0
315.660004,308.730011,310.570007,0
310.290009,306.350006,307.779999,0
309.380005,304.920013,305.820007,0
307.48999,305.089996,305.98999,0
308.339996,304.709991,306.390015,0
311.910004,305.459991,311.450012,0
318.910004,310.820007,312.329987,0
316.359985,308.399994,309.290009,0
306.959991,299.450012,301.910004,0
302.470001,297.76001,300,0
301.480011,297.149994,300.029999,0
304.190002,297,302,0
308.540009,304.160004,307.820007,0
306.5,297.640015,302.690002,0
306.570007,300.929993,306.48999,293.93
308.579987,304.649994,305.549988,299.99
307.459991,303.26001,303.429993,302.17
309.380005,305.23999,309.059998,306.57
309.040009,305.619995,308.899994,305.23
312.390015,307.380005,309.910004,313.57
316.890015,311.25,314.549988,310.91
314.230011,310,312.899994,314.26
320.160004,313.380005,318.690002,315.79
320.5,314.75,315.529999,321.24
316.799988,313.339996,316.350006,319.05
320.570007,316.600006,320.369995,315.01
321.320007,317.720001,318.929993,317.59
318.420013,315.790009,317.640015,317.59
318.519989,314.25,314.859985,314.59
315.540009,307.75,308.299988,311.16
307.23999,303.859985,305.230011,306.5
310.01001,304.359985,309.869995,304.6
312.730011,306.850006,310.420013,304.6
312.829987,307.5,311.299988,304.6
312.549988,307.709991,311.899994,304.6
313.679993,309.579987,310.950012,304.73
311.730011,308.339996,309.170013,305.59
309.51001,306.809998,307.329987,306.89
311.859985,305.790009,311.519989,308.75
312.670013,306.380005,310.570007,308.77
312.600006,308.299988,311.859985,308.92
311.549988,305.920013,308.51001,311.98
308.799988,305.600006,308.429993,310.83
314.149994,306.630005,312.970001,304.64
313.410004,308.01001,308.480011,304.64
311.420013,306.98999,307.209991,304.64
309.980011,305.279999,309.890015,304.64
313.73999,309.619995,313.73999,306.82
314.100006,309.040009,310.790009,307.95
310.369995,308.279999,309.630005,307.95
310.200012,306.869995,308.179993,307.51
308.410004,305.480011,308.23999,310.08
307.299988,300.5,302.720001,302.42
305.269989,301.769989,303.160004,303.5
305.559998,300.25,303.070007,303.5
305.619995,300.01001,304.019989,300.76
305.779999,302.01001,304.660004,300.76
306.149994,303.410004,305.179993,300.76
305.619995,302.079987,304.619995,300.76
308.100006,301.450012,307.75,301.3
312.660004,308.5,312.450012,306.68
317.290009,312.429993,316.970001,310.43
316.5,310.230011,311.119995,310.43
312.679993,309.25,311.369995,310.43
313.179993,303.940002,304.820007,317.13
306.720001,301.920013,303.630005,314.34
306.589996,300.76001,302.880005,313.86
307.549988,301.679993,305.329987,313.86
300.549988,294.899994,297.880005,309.55
304.429993,295.359985,302.01001,309.55
301.299988,292.420013,293.51001,309.55
301.51001,295.059998,301.059998,309.55
305.630005,302.25,303.850006,309.55
307.049988,299.649994,299.730011,309.55
302.079987,296.299988,298.369995,307.96
299.5,293.390015,298.920013,301.04
303.209991,298.970001,302.140015,300.96
302.720001,300.589996,302.320007,296.31
305.380005,303.359985,305.299988,313.88
307.470001,302.579987,305.079987,294.11
308.809998,304.98999,308.769989,317.86
311.5,308.23999,310.309998,299.87
311,307.070007,309.070007,317.1
311.070007,307.850006,310.390015,303.47
313.220001,309.049988,312.51001,314.36
313.700012,310.329987,312.619995,310.86
315.940002,311.769989,313.700012,314.35
316.920013,313.720001,314.549988,313.9
318.809998,313.26001,318.049988,313.9
321.880005,318.119995,319.73999,315.66
323.980011,319,323.790009,315.93
325.720001,322.5,324.630005,318.64
324.549988,322.76001,323.089996,319.99
324.369995,321.320007,323.820007,321.04
324.850006,321.609985,324.329987,322.99
326.399994,324.299988,326.049988,323.78
327.100006,324.109985,324.339996,328.07
323.73999,319,320.529999,320.12
326.910004,322.109985,326.230011,326.71
328.809998,325.190002,328.549988,322.31
331.839996,328.570007,330.170013,323.74
330.25,322.76001,325.859985,323.74
328.070007,323.059998,323.220001,335.63
325.98999,317.410004,320,335.37
325.160004,322.619995,323.880005,335.37
330.690002,325.790009,326.140015,335.37
326.880005,323.480011,324.869995,335.37
326.160004,320.149994,322.98999,333.08
322.959991,319.809998,322.640015,327.46
324.23999,320.540009,322.48999,324.48
323.829987,320.130005,323.529999,323.38
324.690002,322.359985,323.75,318.92
328.26001,324.820007,327.390015,332.15
329.980011,325.850006,329.76001,322.79
333.940002,329.119995,330.390015,334.9
331.48999,328.350006,329.130005,328.25
329.269989,322.970001,323.109985,327.55
323,319.559998,320.200012,324.72
320.559998,317.709991,319.019989,323.06
