High,Low,Close,Po
337.589996,334.920013,335.290009,100.02
335.350006,332.220001,333.600006,93.68
336.619995,332.200012,336.390015,104.52
340.380005,334.089996,335.899994,102.52
341.679993,335.540009,339.820007,115.85
341.299988,337.660004,338.309998,101.3
339.279999,336.619995,338.670013,102.81
341.350006,336.369995,338.609985,102.82
338.850006,335.660004,336.959991,95.14
337.470001,334.190002,335.25,85.75
335.829987,331.839996,334.119995,77.02
336.730011,334.369995,335.339996,84.27
336.399994,332.609985,334.149994,77.2
337.01001,334.140015,336.910004,93.6
342.5,338.399994,341,112.95
342.079987,338.410004,342,118.48
341.890015,338.700012,341.559998,114.01
341.799988,338.910004,341.459991,112.01
344.070007,340.390015,340.899994,100.59
343.480011,339.869995,341.130005,101.76
343.839996,340.929993,343.369995,110.04
346.440002,344.309998,345.350006,102.54
346.209991,343.450012,343.540009,94.87
345,340.51001,341.089996,84.48
345.720001,341.089996,344.25,97.88
347.25,343.540009,345.339996,102.5
345.380005,341.98999,342.429993,90.16
346.790009,342.850006,346.609985,107.88
347.619995,345.100006,345.76001,100.55
351.190002,346.279999,349.630005,111
349.660004,345.540009,347.579987,103
351.089996,347.519989,349.799988,106.49
351.269989,348.600006,349.309998,100.62
351,348.320007,349.809998,102.41
352.329987,350.209991,351.959991,104.04
353.420013,351.25,352.26001,101.44
352.890015,349.690002,351.190002,97.95
354.470001,349.420013,353.809998,106.49
355.109985,349.390015,349.98999,94.03
364.630005,355.149994,362.579987,119.76
364.25,358.850006,363.730011,111.72
364.429993,356.059998,358.019989,96.09
362.350006,355.920013,356.980011,93.25
359.25,353.200012,358.350006,96.93
358.950012,356.809998,358.480011,96.58
357.920013,353.670013,354.5,82.4
358.720001,353.380005,354.109985,78.54
356.299988,351.880005,353.190002,73.65
354.299988,351.25,352.559998,71
354.179993,349.609985,352.089996,69.02
353.5,349.660004,350.570007,62.62
354.320007,351.540009,354.26001,77.75
357.230011,354.130005,354.299988,77.92
357.350006,352.920013,355.929993,84.91
358.410004,354.529999,355.549988,83.28
358.589996,354.01001,358.290009,95.03
362.679993,358.600006,361.059998,106.91
362.470001,359.25,360.200012,101.98
363.390015,360.600006,362.459991,105.5
366.470001,360,360.470001,97.53
362.799988,359.26001,361.670013,102.39
363.299988,360.869995,361.799988,101.87
364.829987,361.769989,363.149994,103.7
366.609985,364.51001,365.519989,102.42
370.429993,365.470001,367.779999,107.76
370.839996,365.970001,367.820007,105.68
370.220001,368.26001,369.5,102.85
370.200012,367.519989,367.859985,96.46
371.329987,367.790009,370.429993,106.79
373.339996,368.459991,370.480011,106.15
371.339996,366.730011,366.820007,90.9
367.200012,362.940002,363.279999,75.84
363.420013,359.76001,360.160004,62.56
361.890015,357.269989,361.709991,68.61
360.790009,357.950012,359.420013,58.7
360.519989,354.269989,357.779999,51.59
359.470001,356.670013,357.059998,45.08
357.5,348.549988,350.299988,10.41
350,345.410004,348.079987,-11.2
348.23999,342.130005,343.040009,-26.41
344.01001,339.51001,343.690002,-1.9
345.940002,342.369995,345.059998,3.62
348.76001,341.859985,346.339996,8.78
345.899994,342.829987,345.450012,5.19
349.51001,345.5,348.559998,17.74
349.600006,344.920013,348.429993,17.21
348.660004,343.019989,345.660004,6.04
348.440002,343.880005,345.089996,3.74
349.940002,345.829987,346.230011,8.34
348.410004,344.149994,345.390015,4.95
344.829987,339.959991,340.890015,-13.19
342.690002,338.450012,338.660004,-14.23
340,334.350006,335.859985,-13.17
338.880005,333.48999,336.839996,-5.63
339.850006,337.769989,338.630005,0.26
339.619995,336.549988,336.899994,-5.43
338.320007,335.459991,336.160004,-5.53
336.190002,330.579987,331.709991,-12.01
338.359985,332.179993,337.410004,5.13
341.48999,337.5,341.329987,16.92
345.329987,340.579987,343.75,24.2
349.390015,344.5,349.019989,40.04
354.350006,349.790009,351.809998,48.43
354.029999,344.059998,346.630005,32.86
346.950012,344.299988,346.170013,31.48
348,344.690002,346.299988,31.87
350.109985,346.880005,348.179993,37.52
351.200012,348.600006,350.559998,44.68
350.649994,348.809998,350.01001,43.02
355.950012,351.25,354.25,55.77
357.309998,354.480011,356.790009,63.41
360,357.230011,359.859985,72.64
360.559998,358.070007,358.929993,69.84
362.609985,358.179993,361.329987,77.06
363.029999,360.25,361,76.07
362.459991,360.049988,361.799988,78.47
363.190002,361.23999,362.679993,81.12
362.640015,359.579987,361.339996,77.09
362.119995,359.209991,360.049988,73.21
361.519989,358.299988,358.690002,72.91
