High,Low,Close,ConversionLine,BaseLine,LeadingSpanA,LeadingSpanB,LaggingLine
318.600006,308.700012,318.600006,0,0,0,0,0
319.559998,313.299988,315.839996,0,0,0,0,0
316.380005,312.75,316.149994,0,0,0,0,0
315.660004,308.730011,310.570007,0,0,0,0,0
310.290009,306.350006,307.779999,0,0,0,0,0
309.380005,304.920013,305.820007,0,0,0,0,0
307.48999,305.089996,305.98999,0,0,0,0,0
308.339996,304.709991,306.390015,0,0,0,0,0
311.910004,305.459991,311.450012,0,0,0,0,0
318.910004,310.820007,312.329987,0,0,0,0,0
316.359985,308.399994,309.290009,0,0,0,0,0
306.959991,299.450012,301.910004,0,0,0,0,0
302.470001,297.76001,300,0,0,0,0,0
301.480011,297.149994,300.029999,0,0,0,0,0
304.190002,297,302,0,0,0,0,0
308.540009,304.160004,307.820007,0,0,0,0,0
306.5,297.640015,302.690002,0,0,0,0,0
306.570007,300.929993,306.48999,0,0,0,0,0
308.579987,304.649994,305.549988,0,0,0,0,0
307.459991,303.26001,303.429993,0,0,0,0,0
309.380005,305.23999,309.059998,0,0,0,0,0
309.040009,305.619995,308.899994,0,0,0,0,0
312.390015,307.380005,309.910004,0,0,0,0,0
316.890015,311.25,314.549988,0,0,0,0,0
314.230011,310,312.899994,0,0,0,0,0
320.160004,313.380005,318.690002,0,0,0,0,0
320.5,314.75,315.529999,0,0,0,0,0
316.799988,313.339996,316.350006,0,0,0,0,0
320.570007,316.600006,320.369995,0,0,0,0,0
321.320007,317.720001,318.929993,0,0,0,0,0
318.420013,315.790009,317.640015,0,0,0,0,0
318.519989,314.25,314.859985,0,0,0,0,0
315.540009,307.75,308.299988,0,0,0,0,0
307.23999,303.859985,305.230011,0,0,0,0,0
310.01001,304.359985,309.869995,0,0,0,0,0
312.730011,306.850006,310.420013,0,0,0,0,0
312.829987,307.5,311.299988,0,0,0,0,0
312.549988,307.709991,311.899994,0,0,0,0,0
313.679993,309.579987,310.950012,0,0,0,0,0
311.730011,308.339996,309.170013,0,0,0,0,0
309.51001,306.809998,307.329987,0,0,0,0,0
311.859985,305.790009,311.519989,0,0,0,0,0
312.670013,306.380005,310.570007,0,0,0,0,0
312.600006,308.299988,311.859985,0,0,0,0,0
311.549988,305.920013,308.51001,0,0,0,0,0
308.799988,305.600006,308.429993,0,0,0,0,0
314.149994,306.630005,312.970001,0,0,0,0,0
313.410004,308.01001,308.480011,0,0,0,0,0
311.420013,306.98999,307.209991,0,0,0,0,0
309.980011,305.279999,309.890015,0,0,0,0,0
313.73999,309.619995,313.73999,0,0,0,0,0
314.100006,309.040009,310.790009,309.71,312.59,311.15,309.16,318.69
310.369995,308.279999,309.630005,309.71,312.59,311.15,309.16,315.53
310.200012,306.869995,308.179993,309.71,312.59,311.15,309.16,316.35
308.410004,305.480011,308.23999,309.71,312.59,311.15,309.16,320.37
307.299988,300.5,302.720001,307.3,309.51,308.4,309.16,318.93
305.269989,301.769989,303.160004,307.3,309.51,308.4,309.16,317.64
