Close,Volume,Obv
318.600006,7919700,7919700.00
315.839996,4351600,3568100.00
316.149994,3025700,542400.00
310.570007,3835800,-3293400.00
307.779999,3877400,584000.00
305.820007,4130800,-3546800.00
305.98999,2351700,-1195100.00
306.390015,3326000,2130900.00
311.450012,4366700,-2235800.00
312.329987,5042800,2807000.00
309.290009,4056900,-1249900.00
301.910004,5103900,3854000.00
300,8305700,-4451700.00
300.029999,3842200,-609500.00
302,3090700,2481200.00
307.820007,3264600,-783400.00
302.690002,3560100,2776700.00
306.48999,2460400,316300.00
305.549988,2730900,-2414600.00
303.429993,2628200,213600.00
309.059998,2846200,-2632600.00
308.899994,3298300,665700.00
309.910004,3549900,-2884200.00
314.549988,5121200,2237000.00
312.899994,3416300,-1179300.00
318.690002,3647900,2468600.00
315.529999,4397400,-1928800.00
316.350006,3049100,1120300.00
320.369995,2999500,-1879200.00
318.929993,3070300,1191100.00
317.640015,2773000,-1581900.00
314.859985,3478900,1897000.00
308.299988,3406000,-1509000.00
305.230011,3614600,2105600.00
309.869995,3770100,-1664500.00
310.420013,3086700,1422200.00
311.299988,2234300,-812100.00
311.899994,2299800,1487700.00
310.950012,2856600,-1368900.00
309.170013,3031200,1662300.00
307.329987,3474600,-1812300.00
311.519989,3653400,1841100.00
310.570007,3518300,-1677200.00
311.859985,4421400,2744200.00
308.51001,5385700,-2641500.00
308.429993,2973100,331600.00
312.970001,3786700,-3455100.00
308.480011,3370000,-85100.00
307.209991,3461200,3376100.00
309.890015,2808000,568100.00
313.73999,3261500,-2693400.00
310.790009,2907100,213700.00
309.630005,2410700,-2197000.00
308.179993,2801700,604700.00
308.23999,2720500,-2115800.00
302.720001,4131100,2015300.00
303.160004,2899500,-884200.00
303.070007,2736400,1852200.00
304.019989,3656200,-1804000.00
304.660004,3652200,1848200.00
305.179993,4736800,-2888600.00
304.619995,3397200,508600.00
307.75,3152100,-2643500.00
312.450012,4493000,1849500.00
316.970001,4889800,-3040300.00
311.119995,3609700,569400.00
311.369995,2701600,-2132200.00
304.820007,3929500,1797300.00
303.630005,5294800,-3497500.00
302.880005,4993000,1495500.00
305.329987,5251500,-3756000.00
297.880005,7162800,3406800.00
302.01001,6325700,-2918900.00
293.51001,15609400,12690500.00
301.059998,6056000,6634500.00
303.850006,4724000,1910500.00
299.730011,3086300,-1175800.00
298.369995,4015800,2840000.00
298.920013,3905400,-1065400.00
302.140015,3833900,2768500.00
302.320007,2436500,332000.00
305.299988,2650000,-2318000.00
305.079987,2694000,376000.00
308.769989,5020200,-4644200.00
310.309998,4862300,218100.00
309.070007,2740300,-2522200.00
310.390015,2314500,-207700.00
312.51001,3131400,2923700.00
312.619995,2330900,592800.00
313.700012,3109500,-2516700.00
314.549988,2662600,145900.00
318.049988,3323300,-3177400.00
319.73999,2975400,-202000.00
323.790009,3425500,3223500.00
324.630005,3581200,-357700.00
323.089996,2406200,2048500.00
323.820007,2428400,-379900.00
324.329987,2405700,2025800.00
326.049988,2261900,-236100.00
324.339996,2552200,2316100.00
320.529999,2718600,-402500.00
326.230011,2950000,2547500.00
328.549988,2909600,-362100.00
330.170013,2461300,2099200.00
325.859985,3366500,-1267300.00
323.220001,2653800,1386500.00
320,3185600,-1799100.00
323.880005,3869500,2070400.00
326.140015,3302400,-1232000.00
324.869995,2283400,1051400.00
322.98999,2639800,-1588400.00
322.640015,2548900,960500.00
322.48999,1937300,-976800.00
323.529999,2190000,1213200.00
323.75,2139500,-926300.00
327.390015,3046800,2120500.00
329.76001,2805000,-684500.00
330.390015,4322900,3638400.00
329.130005,2762500,875900.00
323.109985,4029300,-3153400.00
320.200012,3071500,-81900.00
319.019989,4245400,4163500.00
320.600006,3229400,934100.00
322.190002,3231800,-2297700.00
321.079987,6175000,3877300.00
323.119995,3375300,502000.00
329.480011,3962200,-3460200.00
328.579987,3091800,-368400.00
333.410004,3181400,2813000.00
335.420013,3727800,-914800.00
335.950012,2759300,1844500.00
335.290009,2619200,-774700.00
333.600006,2873400,2098700.00
336.390015,2953000,-854300.00
335.899994,5164600,4310300.00
339.820007,4095200,215100.00
338.309998,8486200,-8271100.00
338.670013,3751700,-4519400.00
338.609985,4507000,-12400.00
336.959991,3303300,3290900.00
335.25,4451700,-1160800.00
334.119995,3220900,2060100.00
335.339996,2625600,-565500.00
334.149994,3175100,2609600.00
336.910004,2498900,110700.00
341,4520600,-4409900.00
342,2047400,-2362500.00
341.559998,2870700,508200.00
341.459991,2548300,-2040100.00
340.899994,2940800,900700.00
341.130005,2966500,-2065800.00
343.369995,2754900,689100.00
345.350006,2897100,-2208000.00
343.540009,2831800,623800.00
341.089996,2669300,-2045500.00
344.25,2359500,314000.00
345.339996,2565300,-2251300.00
342.429993,3032100,780800.00
346.609985,3146000,-2365200.00
345.76001,3301900,936700.00
349.630005,3269400,-2332700.00
347.579987,3014000,681300.00
349.799988,2682900,-2001600.00
349.309998,2706700,705100.00
349.809998,2473300,-1768200.00
351.959991,2621600,853400.00
352.26001,2293300,-1439900.00
351.190002,3085900,1646000.00
353.809998,2942000,-1296000.00
349.98999,2842000,1546000.00
362.579987,5379900,-3833900.00
363.730011,3428800,-405100.00
358.019989,4424600,4019500.00
356.980011,3098800,920700.00
358.350006,2475200,-1554500.00
358.480011,1990700,436200.00
354.5,2863700,-2427500.00
354.109985,2196100,-231400.00
353.190002,2847700,2616300.00
352.559998,2870600,-254300.00
352.089996,2540000,2285700.00
350.570007,2363300,-77600.00
354.26001,2239500,2161900.00
354.299988,2521100,-359200.00
355.929993,2136800,1777600.00
355.549988,1728000,49600.00
358.290009,2285600,-2236000.00
361.059998,3058300,822300.00
360.200012,2842300,-2020000.00
362.459991,2637900,617900.00
360.470001,2976800,-2358900.00
361.670013,2655800,296900.00
361.799988,3263800,-2966900.00
363.149994,3019100,52200.00
365.519989,2921600,-2869400.00
367.779999,2898400,29000.00
367.820007,3261400,-3232400.00
369.5,3670100,437700.00
367.859985,11595000,-11157300.00
370.429993,3130900,-8026400.00
370.480011,2603700,-5422700.00
366.820007,2268400,-3154300.00
363.279999,3178600,24300.00
360.160004,3969400,-3945100.00
361.709991,2556200,-1388900.00
359.420013,3063900,1675000.00
357.779999,3535400,-1860400.00
357.059998,2731700,871300.00
350.299988,4932900,-4061600.00
348.079987,3527600,-534000.00
343.040009,3151700,2617700.00
343.690002,3244600,-626900.00
345.059998,3027300,2400400.00
346.339996,3174700,-774300.00
345.450012,2762800,1988500.00
348.559998,2858600,-870100.00
348.429993,2620800,1750700.00
345.660004,2677500,-926800.00
345.089996,2804800,1878000.00
346.230011,3117800,-1239800.00
345.390015,2998600,1758800.00
340.890015,2977100,-1218300.00
338.660004,2741300,1523000.00
335.859985,3466100,-1943100.00
336.839996,2794200,851100.00
338.630005,2355700,-1504600.00
336.899994,2623200,1118600.00
336.160004,2685400,-1566800.00
331.709991,3608200,2041400.00
337.410004,2634700,-593300.00
341.329987,3066900,2473600.00
343.75,2789700,-316100.00
349.019989,3433700,3117600.00
351.809998,4409100,-1291500.00
346.630005,5486200,4194700.00
346.170013,3062900,1131800.00
346.299988,2602400,-1470600.00
348.179993,3052100,1581500.00
350.559998,3701100,-2119600.00
350.01001,2196200,76600.00
354.25,3387500,-3310900.00
356.790009,3572900,262000.00
359.859985,2822500,-2560500.00
358.929993,3260000,699500.00
361.329987,3215300,-2515800.00
361,2918800,403000.00
361.799988,2110200,-1707200.00
362.679993,1282000,-425200.00
361.339996,2580300,2155100.00
360.049988,2953500,-798400.00
358.690002,3141100,2342700.00
