Date,Open,High,Low,Close,Adj Close,Volume
2023-11-01,341.209991,345.329987,340.579987,343.75,343.75,2789700
2023-11-02,346.390015,349.390015,344.5,349.019989,349.019989,3433700
2023-11-03,350.170013,354.350006,349.790009,351.809998,351.809998,4409100
2023-11-06,354.029999,354.029999,344.059998,346.630005,346.630005,5486200
2023-11-07,346.809998,346.950012,344.299988,346.170013,346.170013,3062900
2023-11-08,346.850006,348,344.690002,346.299988,346.299988,2602400
2023-11-09,347.640015,350.109985,346.880005,348.179993,348.179993,3052100
2023-11-10,349.600006,351.200012,348.600006,350.559998,350.559998,3701100
2023-11-13,350.089996,350.649994,348.809998,350.01001,350.01001,2196200
2023-11-14,352.519989,355.950012,351.25,354.25,354.25,3387500
2023-11-15,355.019989,357.309998,354.480011,356.790009,356.790009,3572900
2023-11-16,357.790009,360,357.230011,359.859985,359.859985,2822500
2023-11-17,360.470001,360.559998,358.070007,358.929993,358.929993,3260000
2023-11-20,359.350006,362.609985,358.179993,361.329987,361.329987,3215300
2023-11-21,360.579987,363.029999,360.25,361,361,2918800
2023-11-22,361.76001,362.459991,360.049988,361.799988,361.799988,2110200
2023-11-24,362.51001,363.190002,361.23999,362.679993,362.679993,1282000
2023-11-27,362.640015,362.640015,359.579987,361.339996,361.339996,2580300
2023-11-28,361.549988,362.119995,359.209991,360.049988,360.049988,2953500
2023-11-29,360.950012,361.519989,358.299988,358.690002,358.690002,3141100
