Date,Open,High,Low,Close,Adj Close,Volume
2022-11-30,315.130005,318.600006,308.700012,318.600006,318.600006,7919700
2022-12-01,319,319.559998,313.299988,315.839996,315.839996,4351600
2022-12-02,313.48999,316.380005,312.75,316.149994,316.149994,3025700
2022-12-05,315.220001,315.660004,308.730011,310.570007,310.570007,3835800
2022-12-06,309.950012,310.290009,306.350006,307.779999,307.779999,3877400
2022-12-07,307.070007,309.380005,304.920013,305.820007,305.820007,4130800
2022-12-08,306,307.48999,305.089996,305.98999,305.98999,2351700
2022-12-09,305.320007,308.339996,304.709991,306.390015,306.390015,3326000
2022-12-12,307.549988,311.910004,305.459991,311.450012,311.450012,4366700
2022-12-13,318.399994,318.910004,310.820007,312.329987,312.329987,5042800
2022-12-14,312.73999,316.359985,308.399994,309.290009,309.290009,4056900
2022-12-15,306.429993,306.959991,299.450012,301.910004,301.910004,5103900
2022-12-16,299.049988,302.470001,297.76001,300,300,8305700
2022-12-19,300.51001,301.480011,297.149994,300.029999,300.029999,3842200
2022-12-20,300.089996,304.190002,297,302,302,3090700
2022-12-21,304.380005,308.540009,304.160004,307.820007,307.820007,3264600
2022-12-22,306.100006,306.5,297.640015,302.690002,302.690002,3560100
2022-12-23,302.880005,306.570007,300.929993,306.48999,306.48999,2460400
2022-12-27,306.450012,308.579987,304.649994,305.549988,305.549988,2730900
2022-12-28,304.769989,307.459991,303.26001,303.429993,303.429993,2628200
2022-12-29,305.940002,309.380005,305.23999,309.059998,309.059998,2846200
2022-12-30,306.950012,309.040009,305.619995,308.899994,308.899994,3298300
2023-01-03,310.070007,312.390015,307.380005,309.910004,309.910004,3549900
2023-01-04,312,316.890015,311.25,314.549988,314.549988,5121200
2023-01-05,313.570007,314.230011,310,312.899994,312.899994,3416300
2023-01-06,315,320.160004,313.380005,318.690002,318.690002,3647900
2023-01-09,319.019989,320.5,314.75,315.529999,315.529999,4397400
2023-01-10,315,316.799988,313.339996,316.350006,316.350006,3049100
2023-01-11,318.519989,320.570007,316.600006,320.369995,320.369995,2999500
2023-01-12,321.149994,321.320007,317.720001,318.929993,318.929993,3070300
2023-01-13,317.48999,318.420013,315.790009,317.640015,317.640015,2773000
2023-01-17,318.399994,318.519989,314.25,314.859985,314.859985,3478900
2023-01-18,315,315.540009,307.75,308.299988,308.299988,3406000
2023-01-19,306.119995,307.23999,303.859985,305.230011,305.230011,3614600
2023-01-20,305.209991,310.01001,304.359985,309.869995,309.869995,3770100
2023-01-23,309.630005,312.730011,306.850006,310.420013,310.420013,3086700
2023-01-24,309.299988,312.829987,307.5,311.299988,311.299988,2234300
2023-01-25,308.329987,312.549988,307.709991,311.899994,311.899994,2299800
2023-01-26,312.98999,313.679993,309.579987,310.950012,310.950012,2856600
2023-01-27,309.790009,311.730011,308.339996,309.170013,309.170013,3031200
2023-01-30,307.600006,309.51001,306.809998,307.329987,307.329987,3474600
2023-01-31,307.73999,311.859985,305.790009,311.519989,311.519989,3653400
2023-02-01,309.630005,312.670013,306.380005,310.570007,310.570007,3518300
2023-02-02,312.350006,312.600006,308.299988,311.859985,311.859985,4421400
2023-02-03,311,311.549988,305.920013,308.51001,308.51001,5385700
2023-02-06,308.25,308.799988,305.600006,308.429993,308.429993,2973100
2023-02-07,307.299988,314.149994,306.630005,312.970001,312.970001,3786700
2023-02-08,311.119995,313.410004,308.01001,308.480011,308.480011,3370000
2023-02-09,310.170013,311.420013,306.98999,307.209991,307.209991,3461200
2023-02-10,307.079987,309.980011,305.279999,309.890015,309.890015,2808000
2023-02-13,310.299988,313.73999,309.619995,313.73999,313.73999,3261500
2023-02-14,313.779999,314.100006,309.040009,310.790009,310.790009,2907100
2023-02-15,309.980011,310.369995,308.279999,309.630005,309.630005,2410700
2023-02-16,307.579987,310.200012,306.869995,308.179993,308.179993,2801700
2023-02-17,307.149994,308.410004,305.480011,308.23999,308.23999,2720500
2023-02-21,306.170013,307.299988,300.5,302.720001,302.720001,4131100
2023-02-22,303.200012,305.269989,301.769989,303.160004,303.160004,2899500
2023-02-23,305.01001,305.559998,300.25,303.070007,303.070007,2736400
